342,71.28,66.24,85.75,,,,
343,81.55,60.8,83.86,,,,
344,76.06,64.66,83.78,,,,
345,72.48,63.1,82.58,,,,
346,80.47,63.38,85.45,,,,
347,79.47,67.68,84.39,,,,
348,79.87,62.95,84.7,,,,
349,73.41,63.7,82.32,,,,
350,78.82,67.29,84.78,,,,
351,77.17,62.28,82.55,,,,
352,80.87,68.95,85,,,,
353,76.44,63.25,85.31,,,,
354,80.34,69.09,85.13,,,,
355,78.97,68.83,86.21,,,,
356,74.11,67.4,86.83,,,,
357,82.31,63.12,85.66,,,,
358,74.7,63.77,86.34,,,,
359,81.82,68.74,84.52,,,,
360,80.48,64.12,85.84,,,,
361,81.01,67.3,84.44,,,,
362,75.18,66.69,82.27,,,,
363,80.29,64.41,86.27,,,,
364,80,67.11,87.06,,,,
365,80.98,64.05,85.44,,,,
366,71.77,68.92,84.21,,,,
367,72.75,69.4,86.05,,,,
368,82.27,61.7,86.57,,,,
369,81.24,65.94,86.61,,,,
370,82.03,66.25,85.66,,,,
371,71.25,68.38,85.9,,,,
372,71.57,67.13,86.22,,,,
373,79.52,62.8,85.11,,,,
374,82.72,64.68,84.78,,,,
375,82.17,68.42,85.72,,,,
376,82.24,69.45,81.58,,,,
377,82.15,69.06,82.1,,,,
378,78.32,65.6,81.81,,,,
379,74.87,66.12,74.63,,,,
380,83.17,62.42,84.06,,,,
381,82.93,64.43,86.61,,,,
382,82.95,67.02,82.4,,,,
383,77.83,69.36,83.86,,,,
384,81.35,68.62,86.56,,,,
385,78.18,61.38,85.66,,,,
386,77.58,60.58,83.85,,,,
387,79.41,66.91,86.71,,,,
388,79.59,56.46,83.85,,,,
389,82.12,63.02,84.77,,,,
390,78.02,67.07,86.97,,,,
391,65.6,68.62,86.35,,,,
392,66.47,68.9,87.04,,,,
393,78.95,67.32,83.9,,,,
394,84.18,63.1,86.41,,,,
395,77.63,69.55,87.15,,,,
396,80.71,68.26,83.8,,,,
397,78.12,71.34,86.59,,,,
398,80.27,70.12,86.98,,,,
399,81.85,63.91,86.21,,,,
400,80.94,68.1,86.83,,,,
